from,number_of_transactions,standard_deviation,period,number_of_blocks,value
0x2c43307F48b76eF166554e6A749c26Ea5C1201f7,299,1.378704626191191,1.9090909090909092,22,1.01e+20
0x2cEaF33413117E1A3b6Fba908d28baDc97790952,49,2.959561246212537,3.3684210526315788,19,1.001e+21
0x2e274F6Ab5394D8ABd759F15834c299B224ad9c6,304,2.226808857075617,2.3636363636363638,33,1.01e+20
0x2f3D71DD530c9A2F94A6C3e95f89DCA94F2aca03,99,2.93771429673755,2.772727272727273,22,1.001e+21
0x2f45E86461C8DF633180fbe5Ea9B1386176A7Af8,204,0.8308498171662079,1.5294117647058822,68,1.5782825261164925e+19
0x3016fF92af35950196FF80D9B03bE33B5c499a65,184,0.7262919523166975,1.35,20,1.01e+20
0x3139512c12830974a3b1659b142cEbB3EfEd2FF1,122,1.504606536756313,1.9705882352941178,34,1.01e+20
0x3145c48e06C5209C5e29114cB4e15A55B4D1325E,144,0.7399324293474372,1.45,20,1.01e+20
0x31798183eDD82dC1A7Bf601192B7eBCc190309b8,33,2.9016649936458405,5.565217391304348,23,7.0181e+19
0x31F57287Ba2d5dA7b0b70E43CdFC14D6879f12D4,319,1.9269300229160893,1.8870967741935485,62,5.1e+19
0x321A2eEABBa4512e352124E7fEa06A7EbA079c75,38,1.6451739185333025,3.0416666666666665,24,1.44776068369e+20
0x32cccAb7BC9A68005a6Dffb0cabC794a2434516B,88,1.3055824196677337,1.5,22,1.01e+20
0x33B5f472107EE60C22267FFF55f1b7c7c4a1A325,64,1.7480147469502525,2.3333333333333335,24,1.001e+21
0x33D56bA473A133729081519995492E23f4DA5f24,238,1.6834545447945943,1.5925925925925926,27,1.51e+20
0x33E7ECd3c24B36895A6474daeCf35647137472C6,155,1.653594569415369,1.625,24,1.01e+20
0x33aFa2Dccc4190A5d607beCc394218bCe9A2d828,28,2.265046309153236,3,23,0
0x341927ccfbF6Bf2Db4De1FDCbDB75ad1074e523a,187,2.399340729763074,1.84375,64,1.9687504765171773e+19
0x3464A8D1F199342511357530c32114cF782Ca9F1,31,2.9334914182295555,4.409090909090909,22,1.001e+21
0x349A8d6ACAf1f11bba63cf7d00ed3e675Da18A3C,82,0.6740130776245103,1.4210526315789473,19,1.01e+20
0x35146fb568Fdc9937dCFbd1fa2c7044412cc8135,195,1.7663521732655691,1.4,25,4.811286632793724e+21
0x35253f7929d073062eB29408f575D8355977DcE6,169,2.0438434182606424,2.4642857142857144,28,1.01e+20
0x35455B095eB94675cc5B39dC9516058dAFAa10F6,54,1.6787441193290353,2,22,8.1e+20
0x35B85087D0803852466addBcfe152dd8291B7740,71,0.9593398443616244,2.103448275862069,29,5.1e+19
0x361CD68454f0dC3C7166Dd0Cc78c052cea9628f6,148,1.4680342822085635,1.9473684210526316,19,1.01e+20
0x36437d63bA2F619B73Ea8532650010A82EA4b614,121,0.653140718210045,1.3157894736842106,19,1.01e+20
0x366E7f149742541FF240C45B83bDAEBe23814593,198,0.966373401445015,1.457142857142857,35,1.01e+20
0x36b3E8c59B433b21dD5042aDB731856F4cF11393,180,1.2984415324623364,1.3636363636363635,22,1.01e+20
0x3798cae34b0ecf328DFe04bD3278eb21259d6277,108,0.4880851839734581,1.1578947368421053,19,1.01e+20
0x37c9F4c55931448504D577a23212Ce71611Ebe61,151,1.8861749533464227,1.9130434782608696,23,1.01e+20
0x38264358c06bD1CcdA921B607A255903DBC703C6,24,2.5749107342306448,4.2272727272727275,22,0
0x384DC03E1e21A046009741F5C04Ab645227ED785,52,0.5289358721998452,1.2608695652173914,23,0
0x388BCEbd6F69D7891e3a9A556361B833E5B0C07C,188,0.8046738469715541,1.45,20,1.01e+20
0x38C0E097B8a638A29c6837231AA87c4c3d3413b6,100,1.5217092933782452,1.8409090909090908,44,1.01e+20
0x390c28A8C20bBDa0c2b0e12C13f75B8319681D23,296,1.2686478848054341,1.9230769230769231,39,1.01e+20
0x39d4dD92926871208346CD644C5Cd87ac66595D9,169,1.515353521887317,1.6666666666666667,27,1.01e+20
0x3A1d248C715100F20690FEcc0b64501944ECB910,80,0.7517293082676684,1.4736842105263157,19,1.01e+20
0x3B3C632df85E98185291270bAa02Ae1b76662A20,169,2.4809523682931944,1.9473684210526316,19,2.9421069745982338e+20
0x3B5E45a46BBE6995399da316FE748590340Ce080,76,1.6211413181933645,2.090909090909091,22,9.272e+15
0x3D013fe80aC59312896296fA0D146d97A7722A85,291,0.8039900496896712,1.44,25,1.51e+20
0x3D5E2Fc362Ea37De2a2975a00E9047Cd4c0846Cf,140,2.6503272805217004,1.8928571428571428,28,2.01e+20
0x3E77D75Bf127D39ADf42b633cFe35d98e30e21Cd,182,0.9195409482755815,1.4333333333333333,30,7.6e+19
0x3ae3136c7E1ee0eB294431d8066936Df55506170,25,2.899952106884219,3.5833333333333335,24,4.359965792e+17
0x3b882750c39759222bFf14255a312154C9c1b3Ba,41,1.4309088021254186,1.95,20,1.01e+20
0x3c92ab14e3306f32a04Bc881e372bDE3E4CC4e05,95,1.5069253140810255,2.521276595744681,94,3.289468e+18
0x3cb5B0CA6561bD7D253594845b5a020717a1fcDb,211,0.8400126795323675,1.5769230769230769,26,1.01e+20
0x3d1b1E7E06B261fA208198286d9e9848487628b6,284,0.8620067027323834,1.5833333333333333,24,1.00000882e+20
0x3ddc44AE06364Fbf787C822593EeCf6cF8961244,194,1.5595583420386114,2.033333333333333,30,1.01e+20
0x3e359058840AB79b8b0E03c10FABea01f61D42ce,61,2.622905542723085,3.3469387755102042,49,8.117318021795471e+19
0x3eE7b6cb85DCa46ce620F508EAE6114f0C8346D6,213,2.1585364899378816,2.1578947368421053,38,1.01e+20
0x3ee3d784142D701707C96B444aa86cE0E57C765E,248,1.926726993228649,2.0930232558139537,43,1.01e+20
0x3f73A548aCf9c58C3161985Fba3461153f33eE82,139,0.710022697809696,1.3636363636363635,22,1.51e+20
0x3f9e52B96fB74a123c7344F82b76CbD4AB108B71,115,0.7517293082676685,1.5263157894736843,19,1.01e+20
0x3fa8D62bE048F0843Ecaf73B4a385eE01e1dD999,167,1.9252135434617816,1.8148148148148149,27,7.6e+19
0x403B9B900EFdDdF9f921Fd36c8B245258CE19B49,137,0.7368137277793088,1.7108433734939759,83,0
0x405B93d5c37185759d9c50F15507C86774DD6149,27,2.678063233814694,3.0434782608695654,23,5.60159e+18
0x408e0548E7f451E0e300A3029839A08a8a092b05,216,0.8039900496896712,1.56,25,1.01e+20
0x4092B799D78BBc7fD2ea5d58e09C90ec2225E5f3,63,0.77138921583987,1.6363636363636365,22,1.1598970544316865e+19
0x40C69E6D8C1BfE89B8Eb5Ee065Af4930C2f143dc,126,2.2628791148389986,3.411214953271028,107,0
0x410E4F34269a435bD6476FEfF855cb3d0fdEF2A2,134,1.299038105676658,1.75,28,1.01e+20
0x4135ac7F0f53B17094D3fF3834DB0c5D7679eb89,157,0.779677595773855,1.4242424242424243,33,1.01e+20
0x417AC04BA35D3f80B4271C11a06FDDe0024aD042,49,1.938564939965909,2.260869565217391,23,1.01e+20
0x418088cf262764dF574C132BFb6666F9b508EC3D,151,0.7480352843974681,1.4210526315789473,19,1.01e+20
0x41A4e95fa25E990981e507d4CD9552fb1aE7A17E,193,1.2763279671256378,1.5172413793103448,29,1.01e+20
0x41D57149cC6f2182811ee56498EbFa13b4592908,123,2.794637722496424,2.3,20,1.01e+20
0x4225A40D76e4f0a3f8282a985F1b725E70462dEC,62,1.3047194715371897,2.5961538461538463,52,3.7e+19
0x424c6491431acF41Ef5F4F31A33f0e5fe5565BFc,72,2.866112281362159,3.859375,64,0
0x4257879bDfB6F0C88E9C412ccF7c243969E01314,215,2.053306231908543,2.3157894736842106,38,1.01e+20
0x4271be65902A55fEE5Fb24D8AF872a9ddaDeB834,122,1.970978301011788,1.9516129032258065,62,1.01e+20
0x42894241A72A073D1f9e6897d61Eb69EE5932C58,49,1.8411952639521971,2.9,20,1.001e+21
0x42DaDc6e012f3fE1B41fB9C185897845163AEB82,138,0.6614378277661477,1.25,24,1.01e+20
0x438094C8f91df0135ACf53537D76C64fF2b721bA,212,0.6324555320336759,1.2,25,1.01e+20
0x438301bBb5941F2D6C6db74EE90474CAd8692087,158,1.464312614674927,1.694915254237288,59,1.0594136039225e+19
0x438ee07957e236d935b2198EEdC962eB80C3D99d,108,0.8249419983047946,1.565217391304348,23,1.01e+20
0x43C65D83a25565883606Ae021100e64484b8eD95,178,2.70801280154532,3,48,1.01e+20
0x43c97a1A7D31BE937d4Ed9596B28ab24193dfc14,136,0.7853534524986021,1.380952380952381,21,1.51e+20
0x43eCC2E15c26B2484C5cCeC07f2F74f8304a012F,145,1.7525491637693282,2,28,1.01e+20
0x443366861285b3EEcC7FDcea522D4a2E4512a631,126,1.2,1.6,20,1.51e+20
0x44415733D17b2272233322CCa033e541aD418517,100,1.0679400113155209,1.6363636363636365,22,1.01e+20
0x44D697eEe023F1d93971E705f4F7951F82caA409,274,1.919997534515182,1.9230769230769231,26,5.1e+19
0x44dc589db0C03a7E4795cCB37B308EcD656Eb91E,187,2.7870740252912016,2.7254901960784315,51,1.7606377414522454e+19
0x44fA6a5f4515309020F8D3C16368aBfb9aBb3620,177,2.112166574172369,2.130434782608696,23,1.01e+20
0x455920E533f049f9238beCd8697C276A441A7a61,229,1.2984415324623362,1.6363636363636365,22,1.01e+20
0x45eeDCc7aFB8EA8Af21F63b8b3385affAa3dbF68,34,0.7200822998230955,1.6666666666666667,27,3.273434836423025e+18
0x462e61326994159d18781A38F05691a209C97cEb,242,0.5378254348272379,1.2727272727272727,22,1.01e+20
0x4633CA362a2619b0674a95209D2374Edf083A0A3,187,0.6708203932499369,1.5,20,1.01e+20
0x476C5F27Fe70b376d6c2251Ca3D65673592ff7cB,360,1.9354668031334836,1.6666666666666667,21,1.01e+20
0x47Db593A1b059d56e279482e692FD012b0548d6D,235,1.9108649315638564,1.8387096774193548,62,1.01e+20
0x47a92DB8775eDd0Bb2746243f04f3e34aD7742F9,81,2.671025084120327,2.625,40,1.01e+20
0x48dFaD3Fbb7C8D42318126196eB478ad0386EAf5,79,0.563436169819011,1.3333333333333333,21,1.01e+20
0x490Da865FD4f261E9858bf05F1981E1B31BF7E3B,100,2.4640269015229057,3,28,1.01e+20
0x497E68Af2Dc4bcF6C1248815DF40284a388aBDa7,318,0.6657426652986062,1.368421052631579,19,1.51e+20
0x4996Ff6EAaCF7D9798a39c22188011253165f9e9,387,0.5954583420518295,1.4736842105263157,19,0
0x4A09816Ed77240813c3CF61bb997539e6d76e15B,31,2.158638974498103,4.583333333333333,24,3.1e+17
0x4B73A282AB0c86a6E7215Af5893aAa796A6ef922,25,0.9682458365518543,2.75,24,0
0x4C2AB8675c541099b570504afcFb99681c062313,141,2.430200105568032,2.36734693877551,49,5.1e+19
0x4C98C84C6dFED3dc1677B8bc4741766E9C093A81,36,1.2288641159452043,2.2758620689655173,29,0
0x4F0062f9EBDA6eB11C87d2c9B71c14Dfb43433C8,126,1.1536086227323128,1.8695652173913044,23,1.01e+20
0x4a0d69ee3802F1781C9F812B9FcD4F3eBCa21B92,167,1.3213749452868195,1.6666666666666667,21,1.01e+20
0x4b3C621BF19a34150bE67637eaa123670adFC66C,61,2.1977822716502757,3.0555555555555554,54,4.321874972821607e+19
0x4c78872d2e5403430e83Bc4b1b9ae641368d2428,215,2.1220404226959384,1.8833333333333333,60,1.01e+20
0x4d22EA0D79c23024c7cCCAEcBa70Ffb4DB9368f9,140,0.5070392952039391,1.2173913043478262,23,5.01e+20
0x4d80d5F725ed1593aF8C5f325fec7C808D876560,125,0.7216024245882199,1.3076923076923077,26,1.01e+20
0x4d962FD4748728f19bE30Ff49Bbc3922034bA2D7,273,0.9344858955002417,1.5416666666666667,48,1.01e+20
0x4dFaadBc89eDb6F9107885eAd79A7832fdBd1eEc,27,2.8777769197767915,3.72,25,9.37777816909915e+18
0x4e06B2b6De8B9cc6cfBcf76145890532b39EF5D7,119,2.5475478405713994,3.1,20,8.133636308427433e+18
0x4e9Ad443432C3157634f7e30A98DFd524F092455,102,2.0790581133986823,6.104166666666667,96,0
